Country Name,2015,2016,2017,2018,2019,2020
North America,55542.96607,56451.5175,58605.34429,61381.71985,63341.78364,61453.13406
Not classified,..,..,..,..,..,..
OECD members,35551.96708,35990.2034,37328.35773,39268.56338,39412.09959,37975.91377
Other small states,12814.12165,12410.45212,13241.20072,14402.75104,13821.33996,11821.7459
Pacific island small states,3832.438806,3962.439848,4220.736436,4336.985308,4268.838313,3626.290589
Post-demographic dividend,40618.92509,41340.50379,42933.61355,45364.58418,45650.14027,44217.89723
Pre-demographic dividend,1560.519966,1393.575355,1415.718939,1449.099681,1481.042628,1342.482391
Small states,11759.68811,11367.68514,12064.70274,13040.53773,12622.52891,10864.0078
South Asia,1543.489948,1652.196,1867.505482,1894.169093,1959.342256,1804.917623
South Asia (IDA & IBRD),1543.489948,1652.196,1867.505482,1894.169093,1959.342256,1804.917623
Sub-Saharan Africa,1658.514663,1508.352794,1564.22416,1596.825251,1599.015966,1483.769566
Sub-Saharan Africa (excluding high income),1657.286312,1507.096028,1562.913964,1595.496495,1597.727503,1482.909594
Sub-Saharan Africa (IDA & IBRD countries),1658.514663,1508.352794,1564.22416,1596.825251,1599.015966,1483.769566
Upper middle income,8173.055438,8072.015628,8870.349295,9483.693306,9589.037874,9191.680733
World,10251.09905,10292.60017,10829.97494,11372.24782,11417.15502,10925.72785
