,Happiness_Rank,Country,Region,Happiness_Score,GDP_hscore,LifeExp_hscore,Freedom_hscore,Generosity_hscore,Corruption_hscore,Year,Actual_CrimeRate,Actual_GDP,Actual_LifeExp
176,12,Costa Rica,Latin America and Caribbean,7.078999996,1.109706283,0.759509265,0.58013165,0.214613229,0.100106589,2017,55.94,12225.57449,12225.57449
177,13,Costa Rica,Latin America and Caribbean,7.072,1.01,0.817,0.632,0.143,0.101,2018,53.89,12468.57529,12468.57529
178,12,Costa Rica,Latin America and Caribbean,7.167,1.034,0.963,0.558,0.144,0.093,2019,56.05,12669.70608,12669.70608
179,15,Costa Rica,Latin America and Caribbean,7.121399879,0.981107712,0.939635336,0.645017743,0.131266311,0.096362092,2020,56.33,12076.81451,12076.81451
180,62,Croatia,Central and Eastern Europe,5.759,1.08254,0.78805,0.25883,0.05444,0.0243,2015,29.34,11781.73479,11781.73479
181,74,Croatia,Central and Eastern Europe,5.488,1.18649,0.70524,0.23907,0.18434,0.04002,2016,29.51,12361.48383,12361.48383
182,77,Croatia,Central and Eastern Europe,5.293000221,1.222556233,0.701288521,0.255772293,0.248002976,0.04310311,2017,27.8,13451.62495,13451.62495
183,82,Croatia,Central and Eastern Europe,5.321,1.115,0.737,0.38,0.12,0.039,2018,27.0,15014.08502,15014.08502
184,75,Croatia,Central and Eastern Europe,5.432,1.155,0.914,0.296,0.119,0.022,2019,24.69,14944.35622,14944.35622
185,79,Croatia,Central and Eastern Europe,5.504700184,1.109024286,0.900575578,0.381456882,0.113998979,0.012325006,2020,24.71,13828.4695,13828.4695
186,67,Cyprus,Western Europe,5.689,1.20813,0.92356,0.40672,0.30638,0.06146,2015,31.56,23408.33668,23408.33668
187,69,Cyprus,Western Europe,5.546,1.31857,0.8488,0.29507,0.27906,0.05228,2016,30.19,24605.92083,24605.92083
188,65,Cyprus,Western Europe,5.620999813,1.355938077,0.844714701,0.355111539,0.271254301,0.041237976,2017,32.46,26444.07438,26444.07438
189,61,Cyprus,Western Europe,5.762,1.229,0.909,0.423,0.202,0.035,2018,30.18,29089.47133,29089.47133
190,49,Cyprus,Western Europe,6.046,1.263,1.042,0.406,0.19,0.041,2019,29.31,28288.46158,28288.46158
191,45,Cyprus,Western Europe,6.15899992,1.21279943,1.026124597,0.459385872,0.227932334,0.051207144,2020,30.01,26623.80089,26623.80089
192,31,Czech Republic,Central and Eastern Europe,6.505,1.17898,0.84483,0.46364,0.10686,0.02652,2015,32.89,17829.69832,17829.69832
193,27,Czech Republic,Central and Eastern Europe,6.596,1.30915,0.76376,0.41418,0.09929,0.03986,2016,32.06,18575.23203,18575.23203
194,23,Czech Republic,Central and Eastern Europe,6.609000206,1.352682352,0.754444003,0.490946174,0.088106759,0.036872927,2017,30.18,20636.19995,20636.19995
195,21,Czech Republic,Central and Eastern Europe,6.711,1.233,0.854,0.543,0.064,0.034,2018,28.81,23419.73561,23419.73561
196,20,Czech Republic,Central and Eastern Europe,6.852,1.269,0.92,0.457,0.046,0.036,2019,26.66,23490.39846,23490.39846
197,19,Czech Republic,Central and Eastern Europe,6.910900116,1.212322354,0.89456445,0.505744576,0.046325929,0.049803223,2020,25.52,22762.19714,22762.19714
198,3,Denmark,Western Europe,7.527,1.32548,0.87464,0.64938,0.34139,0.48357,2015,25.71,53254.85637,53254.85637
199,1,Denmark,Western Europe,7.526,1.44178,0.79504,0.57941,0.36171,0.44453,2016,25.67,54663.99837,54663.99837
200,2,Denmark,Western Europe,7.521999836,1.482383013,0.792565525,0.626006722,0.355280489,0.400770068,2017,21.13,57610.09818,57610.09818
